"Parent1"	"Parent2"	"Offspring"	"Cross.Type"	"SNPs"	"GD"
"Chang.Bai.Mountain.4"	"Offspring.03"	"Tatyana"	"outcross"	370	0.114864864864865
"Chang.Bai.Mountain.4"	"Offspring.03"	"Dumbarton.Oaks.BG"	"outcross"	370	0.113513513513514
"Chang.Bai.Mountain.4"	"Offspring.03"	"X74.32"	"outcross"	369	0.186991869918699
"Chang.Bai.Mountain.4"	"Offspring.03"	"DACT.218"	"outcross"	347	0.164265129682997
"Chang.Bai.Mountain.4"	"Offspring.03"	"Offspring.01"	"outcross"	369	0.0582655826558266
"Chang.Bai.Mountain.4"	"Offspring.03"	"Offspring.02"	"outcross"	363	0.0661157024793388
"Chang.Bai.Mountain.4"	"Offspring.03"	"Offspring.04"	"outcross"	370	0.160810810810811
"Chang.Bai.Mountain.4"	"Offspring.03"	"Offspring.05"	"outcross"	355	0.138028169014085
"Chang.Bai.Mountain.4"	"Offspring.03"	"Offspring.06"	"outcross"	368	0.168478260869565
"Chang.Bai.Mountain.4"	"Offspring.03"	"Offspring.07"	"outcross"	369	0.181571815718157
"Chang.Bai.Mountain.4"	"Offspring.03"	"Offspring.08"	"outcross"	366	0.195355191256831
"Chang.Bai.Mountain.4"	"Offspring.03"	"Offspring.09"	"outcross"	369	0.199186991869919
"Chang.Bai.Mountain.4"	"Offspring.03"	"Offspring.10"	"outcross"	370	0.177027027027027
"Chang.Bai.Mountain.4"	"Offspring.03"	"Offspring.11"	"outcross"	369	0.177506775067751
"Chang.Bai.Mountain.4"	"Offspring.03"	"Offspring.12"	"outcross"	370	0.194594594594595
"Chang.Bai.Mountain.4"	"Offspring.03"	"CACT.105.107"	"outcross"	369	0.140921409214092
"Chang.Bai.Mountain.4"	"Offspring.03"	"Ogden.Point"	"outcross"	369	0.21680216802168
"Chang.Bai.Mountain.4"	"Offspring.03"	"Meader"	"outcross"	368	0.10054347826087
"Chang.Bai.Mountain.4"	"Offspring.03"	"Langer"	"outcross"	369	0.176151761517615
"Chang.Bai.Mountain.4"	"Offspring.04"	"Chang.Bai.Mountain.5"	"outcross"	346	0.108381502890173
"Chang.Bai.Mountain.4"	"Offspring.04"	"Tatyana"	"outcross"	346	0.0549132947976879
"Chang.Bai.Mountain.4"	"Offspring.04"	"Dumbarton.Oaks.BG"	"outcross"	346	0.21242774566474
"Chang.Bai.Mountain.4"	"Offspring.04"	"X74.32"	"outcross"	346	0.106936416184971
"Chang.Bai.Mountain.4"	"Offspring.04"	"DACT.218"	"outcross"	329	0.193009118541033
"Chang.Bai.Mountain.4"	"Offspring.04"	"Offspring.01"	"outcross"	345	0.121739130434783
"Chang.Bai.Mountain.4"	"Offspring.04"	"Offspring.02"	"outcross"	340	0.116176470588235
"Chang.Bai.Mountain.4"	"Offspring.04"	"Offspring.03"	"outcross"	346	0.132947976878613
"Chang.Bai.Mountain.4"	"Offspring.04"	"Offspring.05"	"outcross"	336	0.0788690476190476
"Chang.Bai.Mountain.4"	"Offspring.04"	"Offspring.06"	"outcross"	344	0.0872093023255814
"Chang.Bai.Mountain.4"	"Offspring.04"	"Offspring.07"	"outcross"	345	0.189855072463768
"Chang.Bai.Mountain.4"	"Offspring.04"	"Offspring.08"	"outcross"	344	0.184593023255814
"Chang.Bai.Mountain.4"	"Offspring.04"	"Offspring.09"	"outcross"	345	0.188405797101449
"Chang.Bai.Mountain.4"	"Offspring.04"	"Offspring.10"	"outcross"	345	0.118840579710145
"Chang.Bai.Mountain.4"	"Offspring.04"	"Offspring.11"	"outcross"	345	0.126086956521739
"Chang.Bai.Mountain.4"	"Offspring.04"	"Offspring.12"	"outcross"	346	0.153179190751445
"Chang.Bai.Mountain.4"	"Offspring.04"	"CACT.105.107"	"outcross"	345	0.126086956521739
"Chang.Bai.Mountain.4"	"Offspring.04"	"Ogden.Point"	"outcross"	345	0.240579710144928
"Chang.Bai.Mountain.4"	"Offspring.04"	"Meader"	"outcross"	346	0.0953757225433526
"Chang.Bai.Mountain.4"	"Offspring.04"	"Langer"	"outcross"	345	0.157971014492754
"Chang.Bai.Mountain.4"	"Offspring.05"	"Chang.Bai.Mountain.5"	"outcross"	347	0.106628242074928
"Chang.Bai.Mountain.4"	"Offspring.05"	"Tatyana"	"outcross"	347	0.0489913544668588
"Chang.Bai.Mountain.4"	"Offspring.05"	"Dumbarton.Oaks.BG"	"outcross"	347	0.207492795389049
"Chang.Bai.Mountain.4"	"Offspring.05"	"X74.32"	"outcross"	346	0.124277456647399
"Chang.Bai.Mountain.4"	"Offspring.05"	"DACT.218"	"outcross"	328	0.195121951219512
"Chang.Bai.Mountain.4"	"Offspring.05"	"Offspring.01"	"outcross"	346	0.119942196531792
